,Objectnummer,LNG,LAT
1,GAWW-03,"4,8973336","52,3725237"
2,GAWW-02,"4,8988705","52,3737982"
4,GAWW-01,"4,8997667","52,374627"
7,GAWW-08,"4,8971927","52,3716503"
8,GAWW-10,"4,8988079","52,372369"
10,GAWW-06,"4,8980531","52,372416"
11,GAWW-04,"4,8979911","52,3733485"
14,GAWW-07,"4,9004405","52,3744139"
15,GAWW-09,"4,8984795","52,3750398"
16,GAKW-01,"4,8920997","52,3725914"
17,GAKW-02,"4,8917034","52,3708221"
18,GAKW-03,"4,8910772","52,3687459"
19,GAKW-05,"4,8922577","52,3693826"
24,GABW-03,"4,901857","52,3794214"
25,GABW-04,"4,9013623","52,3794833"
26,GABW-06,"4,9007663","52,3797416"
27,GABW-02,"4,9003073","52,3799963"
28,GABW-01,"4,8995622","52,3801236"
30,GABW-05,"4,9021061","52,3792308"
57,GAKW-05,"4,8922577","52,3693826"
58,GAKS-06,"4,8916783","52,3690026"
59,GAKW-04,"4,8916418","52,3679201"
61,X,"4,9008","52,3721743"
63,X,"4,8999833","52,3783056"
