OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Tram";"2 | 11 | 12 | 13 | 17";"02|11|12|13|17";3;"POINT(4.893349,52.376064)";"POINT(52.376064,4.893349)";"4,893349";"52,376064";
2;"Tram";"1 | 11 | 17";"01|11|17";3;"POINT(4.853122,52.358377)";"POINT(52.358377,4.853122)";"4,853122";"52,358377";
3;"Tram";"1 | 17";"01|17";3;"POINT(4.82733,52.357809)";"POINT(52.357809,4.82733)";"4,82733";"52,357809";
4;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.889295,52.369254)";"POINT(52.369254,4.889295)";"4,889295";"52,369254";
5;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.884471,52.365017)";"POINT(52.365017,4.884471)";"4,884471";"52,365017";
6;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.886451,52.365956)";"POINT(52.365956,4.886451)";"4,886451";"52,365956";
7;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.888961,52.366998)";"POINT(52.366998,4.888961)";"4,888961";"52,366998";
8;"Tram";"1";"01";3;"POINT(4.77478,52.353738)";"POINT(52.353738,4.77478)";"4,77478";"52,353738";
9;"Tram";"1";"01";3;"POINT(4.776851,52.35291)";"POINT(52.35291,4.776851)";"4,776851";"52,35291";
10;"Tram";"1";"01";3;"POINT(4.783292,52.350331)";"POINT(52.350331,4.783292)";"4,783292";"52,350331";
11;"Tram";"1";"01";3;"POINT(4.794752,52.350978)";"POINT(52.350978,4.794752)";"4,794752";"52,350978";
12;"Tram";"1";"01";3;"POINT(4.802261,52.352498)";"POINT(52.352498,4.802261)";"4,802261";"52,352498";
13;"Tram";"1";"01";3;"POINT(4.808848,52.35389)";"POINT(52.35389,4.808848)";"4,808848";"52,35389";
14;"Tram";"1 | 3 | 11";"01|03|11";3;"POINT(4.875292,52.362745)";"POINT(52.362745,4.875292)";"4,875292";"52,362745";
15;"Tram";"1 | 11";"01|11";3;"POINT(4.860101,52.358961)";"POINT(52.358961,4.860101)";"4,860101";"52,358961";
16;"Tram";"19";"19";3;"POINT(4.940195,52.347751)";"POINT(52.347751,4.940195)";"4,940195";"52,347751";
17;"Tram";"19";"19";3;"POINT(4.947654,52.343067)";"POINT(52.343067,4.947654)";"4,947654";"52,343067";
18;"Tram";"19";"19";3;"POINT(4.954538,52.339603)";"POINT(52.339603,4.954538)";"4,954538";"52,339603";
19;"Tram";"19";"19";3;"POINT(4.95864,52.338752)";"POINT(52.338752,4.95864)";"4,95864";"52,338752";
20;"Tram";"19";"19";3;"POINT(4.965745,52.33749)";"POINT(52.33749,4.965745)";"4,965745";"52,33749";
21;"Tram";"19";"19";3;"POINT(4.969582,52.336756)";"POINT(52.336756,4.969582)";"4,969582";"52,336756";
22;"Tram";"1 | 3";"01|03";3;"POINT(4.929373,52.361012)";"POINT(52.361012,4.929373)";"4,929373";"52,361012";
23;"Tram";"1 | 17";"01|17";3;"POINT(4.810142,52.356394)";"POINT(52.356394,4.810142)";"4,810142";"52,356394";
24;"Tram";"1 | 17";"01|17";3;"POINT(4.840037,52.35795)";"POINT(52.35795,4.840037)";"4,840037";"52,35795";
25;"Tram";"17";"17";3;"POINT(4.853284,52.361465)";"POINT(52.361465,4.853284)";"4,853284";"52,361465";
26;"Tram";"17";"17";3;"POINT(4.853184,52.363668)";"POINT(52.363668,4.853184)";"4,853184";"52,363668";
27;"Tram";"7 | 17";"07|17";3;"POINT(4.867549,52.365968)";"POINT(52.365968,4.867549)";"4,867549";"52,365968";
28;"Tram";"3 | 7 | 17";"03|07|17";3;"POINT(4.872169,52.367239)";"POINT(52.367239,4.872169)";"4,872169";"52,367239";
29;"Tram";"1 | 2 | 5 | 7 | 11 | 12 | 19";"01|02|05|07|11|12|19";3;"POINT(4.882353,52.363768)";"POINT(52.363768,4.882353)";"4,882353";"52,363768";
30;"Tram";"1";"01";3;"POINT(4.788602,52.349769)";"POINT(52.349769,4.788602)";"4,788602";"52,349769";
31;"Tram";"1 | 11";"01|11";3;"POINT(4.86625,52.360447)";"POINT(52.360447,4.86625)";"4,86625";"52,360447";
32;"Tram";"5";"05";3;"POINT(4.86987,52.38423)";"POINT(52.38423,4.86987)";"4,86987";"52,38423";
